eps,min_samples,number_of_clusters,execution_time_sec,silhouette_score
0.004,10,62,0.19567,-0.04491
0.004,20,49,0.19617,0.07971
0.004,15,50,0.19817,0.08199
0.004,5,91,0.19867,-0.11344
0.009,15,7,0.3523,-0.05538
0.009,10,7,0.3538,-0.01383
0.009,5,13,0.35781,-0.10052
0.009,20,9,0.37332,-0.19831
0.014,15,4,0.53746,0.34237
0.014,20,4,0.53946,0.34237
0.014,5,8,0.53996,0.25521
0.014,10,6,0.54146,0.32441
0.019,5,4,0.72162,0.33666
0.019,10,6,0.72763,0.28842
0.019,20,4,0.73913,0.3437
0.019,15,5,0.93981,0.3411
